ckey,rkey,cdate,rdate,cr11,cr12,cr17,rr17,cr18,rr18,cv01,rv01,cv02,rv02
20110046836,20110046836,20000120,20000131,NA,NA,NA,NA,NA,NA,2,NA,2,NA
20110046842,20110046842,20000121,20000207,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20110046879,20110046879,19991223,20000213,998,NA,NA,5,NA,NA,3,NA,1,NA
20110046889,20110046889,19991222,20000202,998,NA,NA,5,NA,NA,1,NA,1,NA
20110046913,20110046913,20000119,20000131,2,NA,NA,NA,NA,NA,3,NA,2,NA
20110046943,20110046943,19991230,20000130,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110046949,20110046949,20000119,20000209,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20110046954,20110046954,20000121,20000128,2,NA,NA,2,NA,NA,1,NA,1,NA
20110046959,20110046959,20000118,20000201,2,NA,NA,NA,NA,NA,3,NA,2,NA
20110046963,20110046963,19991226,20000206,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20110046965,20110046965,19991220,20000131,NA,1,NA,NA,NA,1,3,NA,1,NA
20110046969,20110046969,19991215,20000128,2,NA,NA,NA,NA,NA,2,NA,2,NA
20110046975,20110046975,20000121,20000203,NA,2,NA,NA,NA,NA,3,NA,1,NA
20110046978,20110046978,20000123,20000128,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110049608,20110049608,19991223,20000201,2,NA,NA,NA,NA,NA,1,NA,2,NA
20110049634,20110049634,19991228,20000126,NA,2,NA,NA,NA,NA,2,NA,2,NA
20110049644,20110049644,20000120,20000211,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110049680,20110049680,20000118,20000215,NA,2,NA,NA,NA,NA,1,NA,2,NA
20110049692,20110049692,20000106,20000130,2,NA,NA,NA,NA,NA,1,NA,2,NA
20110049707,20110049707,19991229,20000128,6,NA,NA,6,NA,NA,3,NA,2,NA
20110049711,20110049711,19991230,20000212,NA,998,NA,NA,NA,NA,2,NA,1,NA
20110049738,20110049738,20000121,20000127,3,NA,NA,NA,NA,NA,1,NA,1,NA
20110049784,20110049784,19991223,20000127,1,NA,NA,1,NA,NA,1,NA,1,NA
20110049790,20110049790,20000103,20000128,2,NA,NA,NA,NA,NA,3,NA,1,NA
20110049827,20110049827,20000106,20000214,2,NA,NA,NA,NA,NA,1,NA,1,NA
20110049845,20110049845,20000121,20000130,NA,NA,NA,NA,NA,NA,2,NA,1,NA
20110049874,20110049874,20000121,20000131,NA,1,NA,NA,NA,1,2,NA,2,NA
20110049878,20110049878,20000121,20000207,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20110049884,20110049884,19991214,20000212,NA,2,NA,NA,NA,2,2,NA,1,NA
20110049887,20110049887,19991216,20000205,3,NA,NA,NA,NA,NA,1,NA,1,NA
20110049892,20110049892,19991219,20000128,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20110049896,20110049896,19991221,20000202,NA,NA,NA,NA,NA,1,3,NA,998,NA
20110049904,20110049904,19991226,20000213,5,NA,NA,NA,NA,NA,3,NA,1,NA
20110049906,20110049906,19991230,20000201,NA,1,NA,NA,NA,NA,2,NA,2,NA
20110049917,20110049917,19991229,20000216,2,NA,NA,NA,NA,NA,1,NA,1,NA
20110049921,20110049921,19991229,20000217,NA,NA,NA,NA,NA,NA,998,NA,NA,NA
20110049923,20110049923,20000103,20000212,NA,998,NA,NA,NA,2,2,NA,2,NA
20110049924,20110049924,19991230,20000210,998,NA,NA,NA,NA,NA,1,NA,1,NA
20110049930,20110049930,19991228,20000130,3,NA,NA,NA,NA,NA,3,NA,2,NA
20110049956,20110049956,20000122,20000206,6,NA,NA,6,NA,NA,3,NA,2,NA
20110049996,20110049996,19991229,20000214,NA,1,NA,NA,NA,NA,3,NA,1,NA
20110049998,20110049998,19991217,20000209,NA,998,NA,NA,NA,NA,3,NA,1,NA
20110050019,20110050019,20000105,20000212,NA,1,NA,NA,NA,NA,2,NA,2,NA
