case,pid_7,ft_dem,ft_rep,ideo_self,ideo_dem,ideo_rep,primary_vote,primary_vote_choice_num,dis_democ,distrust_gov,wrong_track_dum,gov_run_for_few_dum,gov_care_post,wealth_gap_larger,age,race,weight,date,income,sex,pid_7_num,pid_3,therm_dem,therm_rep,primary_vote_dum,primary_vote_choice,cand_party,dis_democ_dum,trust_gov,distrust_gov_dum,officials_dont_care_dum,therm_parties_mean,therm_inparty,therm_outparty,year,below_50_qual_strict,wealth_gap_larger_dum,primary_vote_simple,below_35k_dum
2020_354820,Weak Democrat,30,0,2,5,7,Didn't Vote,NA,-7,5,1,1,-7,1,39,White,1.63170613821185,2020-10-16,21,Male,2,Democrat,30,0,0,NA,NA,NA,Never,1,NA,15,30,0,2020,cold,1,Didn't Vote,0
2020_354844,Independent - Republican,40,40,4,2,5,Voted,10,4,4,0,1,1,1,64,White,0.438919959662943,2020-10-03,11,Female,5,Republican,40,40,1,Someone Neither Dem. Nor Rep.,Other Party,1,Some of the Time,1,1,40,40,40,2020,cold,1,Voted in Other Primary,0
2020_354851,Weak Democrat,85,30,4,3,1,Voted,1,4,4,1,1,2,3,44,Black,3.87038772982968,2020-09-14,17,Male,2,Democrat,85,30,1,Joe Biden,Democrat,1,Some of the Time,1,1,57.5,85,30,2020,warm,0,Winner,0
2020_354868,Strong Democrat,70,0,2,4,7,Voted,1,4,5,1,1,1,1,30,Other,0.708503107268086,2020-08-28,3,Female,1,Democrat,70,0,1,Joe Biden,Democrat,1,Never,1,1,35,70,0,2020,warm,1,Winner,1
2020_354875,Independent - Democrat,30,0,1,3,7,Voted,5,2,4,1,1,2,1,27,White,0.991726758245701,2020-09-17,NA,Male,3,Democrat,30,0,1,Bernie Sanders,Democrat,0,Some of the Time,1,1,15,30,0,2020,cold,1,Loser,NA
2020_354882,Independent - Independent,100,40,99,5,1,Didn't Vote,NA,2,4,1,NA,5,-9,53,Other,0.630996171187714,2020-10-19,1,Female,4,Independent,100,40,0,NA,NA,0,Some of the Time,1,0,70,NA,NA,2020,NA,NA,Didn't Vote,1
2020_354899,Independent - Republican,15,70,5,1,6,Didn't Vote,NA,2,4,0,1,2,1,68,White,0.536846493247896,2020-09-13,11,Male,5,Republican,15,70,0,NA,NA,0,Some of the Time,1,1,42.5,70,15,2020,warm,1,Didn't Vote,0
2020_354905,Independent - Republican,40,60,6,1,5,Voted,8,4,4,1,1,1,1,66,White,0.839844262583755,2020-09-16,20,Female,5,Republican,40,60,1,Donald Trump,Republican,1,Some of the Time,1,1,50,60,40,2020,NA,1,Winner,0
2020_354929,Strong Republican,0,100,6,1,6,Didn't Vote,NA,2,4,0,1,1,3,26,White,0.628787290367775,2020-09-13,13,Male,7,Republican,0,100,0,NA,NA,0,Some of the Time,1,1,50,100,0,2020,warm,0,Didn't Vote,0
2020_354943,Independent - Independent,55,40,4,2,6,Didn't Vote,NA,2,3,1,1,4,1,47,White,0.785497391293822,2020-10-15,22,Male,4,Independent,55,40,0,NA,NA,0,About Half the time,0,0,47.5,NA,NA,2020,NA,1,Didn't Vote,0
