case,age,sex,race,income,weight,primary_vote_choice,primary_vote,ideo_self,ideo_rep,ideo_dem,therm_dem,therm_rep,pid_3,below_35k_dum,therm_inparty,therm_outparty,primary_vote_dum,cand_party,primary_vote_simple,year,ideo_inparty,ideo_outparty,ideo_self_in_dif,ideo_self_out_dif,ideo_in_out_dif,age_group,ideo_self_std,ideo_self_prt_std,ideo_inparty_std,ideo_inparty_prt_std,ideo_self_in_dif_std,male_dum,white_dum
2012_212,31,Male,White,8,0.155,Didn't Vote,0,4,7,2,70,40,Independent,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,1,1
2012_213,39,Male,Other,20,0.588,Didn't Vote,0,NA,5,1,85,70,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,0
2012_214,47,Female,Other,NA,1.274,Didn't Vote,0,NA,NA,NA,50,50,Independent,NA,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0
2012_215,57,Male,Black,1,1.02,Didn't Vote,0,NA,1,5,70,0,Democrat,1,70,0,0,NA,Didn't Vote,2012,5,1,NA,NA,4,4,NA,NA,0.3333333333333333,0.33333333333333337,NA,1,0
2012_216,22,Female,White,1,3.843,Didn't Vote,0,NA,NA,NA,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1
2012_217,53,Female,White,17,0.923,Didn't Vote,0,4,3,4,60,50,Democrat,0,60,50,0,NA,Didn't Vote,2012,4,3,0,1,1,3,0,0.5,0,0.5,0,0,1
2012_218,32,Male,White,26,2.203,Didn't Vote,0,5,7,1,30,40,Republican,0,40,30,0,NA,Didn't Vote,2012,7,1,-2,4,6,1,0.3333333333333333,0.6666666666666666,1,1,-0.33333333333333337,1,1
2012_219,70,Male,White,22,1.223,Newt Gingrich,1,6,5,2,15,70,Republican,0,70,15,1,Republican,Loser,2012,5,2,1,4,3,5,0.6666666666666666,0.8333333333333333,0.3333333333333333,0.6666666666666666,0.16666666666666663,1,1
2012_220,40,Female,White,17,2.048,Didn't Vote,0,3,6,2,70,30,Democrat,0,70,30,0,NA,Didn't Vote,2012,2,6,1,-3,4,2,-0.3333333333333333,0.6666666666666666,-0.6666666666666666,0.8333333333333333,-0.16666666666666663,0,1
2012_221,51,Female,White,9,2.857,Didn't Vote,0,4,NA,NA,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,0,1
2012_222,57,Male,White,1,0.373,Didn't Vote,0,3,3,5,85,40,Democrat,1,85,40,0,NA,Didn't Vote,2012,5,3,-2,0,2,4,-0.3333333333333333,0.6666666666666666,0.3333333333333333,0.33333333333333337,0.33333333333333326,1,1
2012_223,59,Female,White,22,1.599,Didn't Vote,0,NA,NA,NA,50,50,NA,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0,1
2012_224,40,Female,White,23,1.474,Mitt Romney,1,5,7,1,15,60,Republican,0,60,15,1,Republican,Winner,2012,7,1,-2,4,6,2,0.3333333333333333,0.6666666666666666,1,1,-0.33333333333333337,0,1
2012_225,54,Female,White,NA,1.581,Didn't Vote,0,7,7,1,0,85,Republican,NA,85,0,0,NA,Didn't Vote,2012,7,1,0,6,6,3,1,1,1,1,0,0,1
2012_226,52,Female,White,22,1.414,Didn't Vote,0,NA,3,3,10,50,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,1
2012_227,60,Male,Other,NA,2.203,Didn't Vote,0,2,7,3,60,15,Independent,NA,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,4,-0.6666666666666666,NA,NA,NA,NA,1,0
2012_228,89,Female,White,1,0.973,Didn't Vote,0,5,4,1,30,70,Republican,1,70,30,0,NA,Didn't Vote,2012,4,1,1,4,3,5,0.3333333333333333,0.6666666666666666,0,0.5,0.16666666666666663,0,1
2012_229,59,Female,White,2,1.938,Didn't Vote,0,NA,3,3,50,40,Independent,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0,1
2012_230,46,Female,White,25,2.271,Didn't Vote,0,2,7,2,40,40,Democrat,0,40,40,0,NA,Didn't Vote,2012,2,7,0,-5,5,3,-0.6666666666666666,0.8333333333333333,-0.6666666666666666,0.8333333333333333,0,0,1
2012_231,42,Male,White,20,2.391,Didn't Vote,0,5,6,2,40,40,NA,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,2,0.3333333333333333,NA,NA,NA,NA,1,1
2012_232,NA,Male,White,25,4.205,Didn't Vote,0,4,7,3,70,30,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1
2012_233,54,Female,White,NA,1.56,Mitt Romney,1,NA,6,1,30,70,Independent,NA,NA,NA,1,Republican,Voted in Other Party Primary,2012,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,1
2012_234,42,Male,White,18,2.282,Didn't Vote,0,5,6,2,30,60,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,2,0.3333333333333333,NA,NA,NA,NA,1,1
2012_235,53,Female,White,27,2.102,Barack Obama,1,NA,3,4,60,40,Democrat,0,60,40,1,Democrat,Winner,2012,4,3,NA,NA,1,3,NA,NA,0,0.5,NA,0,1
2012_236,47,Male,White,11,1.325,Didn't Vote,0,4,7,2,85,15,Independent,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,1,1
2012_237,61,Male,White,5,1.584,Barack Obama,1,1,7,2,85,0,Democrat,1,85,0,1,Democrat,Winner,2012,2,7,-1,-6,5,4,-1,1,-0.6666666666666666,0.8333333333333333,0.16666666666666674,1,1
2012_238,64,Male,White,2,1.251,Didn't Vote,0,4,7,3,50,15,Independent,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,1,1
2012_239,47,Male,White,26,1.914,Didn't Vote,0,5,6,2,40,40,NA,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,3,0.3333333333333333,NA,NA,NA,NA,1,1
2012_240,50,Male,Other,23,1.325,Didn't Vote,0,5,6,2,40,40,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,3,0.3333333333333333,NA,NA,NA,NA,1,0
2012_241,47,Female,White,11,1.271,Didn't Vote,0,NA,2,3,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,1
2012_242,61,Male,White,19,0.992,Didn't Vote,0,6,5,2,30,70,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,4,0.6666666666666666,NA,NA,NA,NA,1,1
2012_243,64,Male,White,24,2.243,Didn't Vote,0,2,7,3,60,40,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,4,-0.6666666666666666,NA,NA,NA,NA,1,1
2012_244,34,Male,Black,1,0.894,Didn't Vote,0,4,NA,6,60,50,Independent,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,1,0
2012_245,56,Female,White,14,1.751,Didn't Vote,0,NA,2,6,70,40,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,1
