age,sex,race,income,weight,primary_vote_choice,primary_vote,ideo_self,ideo_rep,ideo_dem,therm_dem,therm_rep,pid_3,below_35k_dum,therm_inparty,therm_outparty,primary_vote_dum,cand_party,primary_vote_simple,year
22,Male,White,11,1.9056,Didn't Vote,NA,5,6,2,12,73,Republican,1,73,12,0,NA,Didn't Vote,2016
36,Female,White,23,0.6828,Didn't Vote,NA,6,4,1,50,50,Republican,0,50,50,0,NA,Didn't Vote,2016
28,Female,White,24,0.8586,Didn't Vote,NA,99,4,3,50,50,Other,0,NA,NA,0,NA,Didn't Vote,2016
58,Female,White,27,0.8184,Didn't Vote,NA,4,6,2,60,30,Independent,0,NA,NA,0,NA,Didn't Vote,2016
60,Male,White,16,0.3081,Donald Trump,1,5,6,2,40,70,Republican,0,70,40,1,Republican,Winner,2016
35,Female,Black,20,1.1216,Hillary Clinton,1,3,7,2,70,15,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016
47,Female,Black,3,0.7738,Didn't Vote,NA,99,7,2,100,0,Democrat,1,100,0,0,NA,Didn't Vote,2016
39,Female,Other,NA,0.5666,Didn't Vote,NA,99,6,2,NA,NA,Other,NA,NA,NA,0,NA,Didn't Vote,2016
53,Female,White,16,0.353,Hillary Clinton,1,4,6,2,100,40,Democrat,0,100,40,1,Democrat,Winner,2016
53,Female,White,25,1.2519,Didn't Vote,NA,4,2,6,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
46,Female,White,23,1.949,Marco Rubio,1,5,6,1,15,70,Republican,0,70,15,1,Republican,Loser,2016
30,Male,White,21,0.6842,Didn't Vote,NA,5,6,2,20,85,Republican,0,85,20,0,NA,Didn't Vote,2016
